Namee,Email  ,Contact,City,Referencee,Handled_By,Leadd,Converted,To_Be_Converted
Atharv Srinivasan,oliviglong234@gmgil.com,8247282231,Jaipur,Insta,Sushant Nikam,End Lead,NO,NO
Saisha Kapoor,etggnjgmes456@gotmgil.com,8247282187,Berhampur,Insta,Tamanna Sahu,End Lead,NO,NO
Vihaan Chawla,isggellgwgite789@yggoo.com,8243282998,Chitradurga,FB,Deepali Kasatwar,End Lead,NO,NO
Navya Prasad,loggnjones234@gmgil.com,7243282192,Bareilly,FB,Tamanna Sahu,End Lead,NO,NO
Rudra Raghavan,cgloewglker456@gotmgil.com,8248383202,Pune,FB,Sushant Nikam,End Lead,NO,NO
Sia Reddy,jgcksontgomgs789@yggoo.com,7243282177,Bolangir,FB,Azimuddin Mohd,End Lead,NO,NO
Anaya Rao,ggiggillewis123@gmgil.com,7243282292,Baner,FB,Azimuddin Mohd,End Lead,NO,NO
Ayush Sinha,willigmsgncgez456@gotmgil.com,7243282231,Akola maharashtra,FB,Azimuddin Mohd,End Lead,NO,NO
Myra Menon,sopgiemorris789@yggoo.com,7243282219,Ramganjmandi,FB,Azimuddin Mohd,End Lead,NO,NO
Kian Kapoor,lucgswriggt234@gmgil.com,7243282239,Bhagalpur,FB,Sushant Nikam,End Lead,NO,NO
Aahana Sharma,emilycooper456@gotmgil.com,8243282283,kandhar,FB,Pooja Melwani,End Lead,NO,NO
Anshuman Agarwal,nogggill789@yggoo.com,7243282293,Bangalore,FB,Pooja Melwani,End Lead,NO,NO
Aanya Iyengar,mgdisonrodriguez123@gmgil.com,8243082299,KOLHAPUR,PZ VIP,Anchal Mishra,Active lead,NO,NO
Vihaan Choudhury,jgcogrogers456@gotmgil.com,8243282244,Chalisgaon,PZ VIP,Anchal Mishra,Active lead,NO,NO
Reyansh Verma,ggnngggerngndez789@yggoo.com,8243282212,Tamilnadu,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Anika Gupta,olivermorggn234@gmgil.com,8243282218,Navi Mumbai,whatsapp,Abhijeet Bramhane,Active lead,NO,NO
Advaitan Joshi,gvggllen456@gotmgil.com,8243282182,Mumbai,whatsapp,Nilesh Shinde,Active lead,NO,NO
Saanvi Reddy,sgmuelwood789@yggoo.com,8243284372,Mumbai,whatsapp,Nilesh Shinde,End Lead,NO,NO
Dhruv Chawla,gveryjgmes123@gmgil.com,8243282198,Lucknow,Investment Leads,Abhijeet Bramhane,Active lead,NO,NO
Aradhya Singh,elizggetgcox456@gotmgil.com,8243282248,Mumbai,Investment Leads,Nilesh Shinde,Active lead,NO,NO
Samaira Krishnan,dgnieljognson789@yggoo.com,8243287299,Mumbai,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Shaurya Patel,sopgigprice234@gmgil.com,8243282239,Tamilnadu,Investment Leads,Sushant Nikam,Active lead,NO,NO
Aarav Iyer,willigmgdgms456@gotmgil.com,8243274312,Navi Mumbai,Investment Leads,Ronak Jadhav,Active lead,NO,NO
Aishani Nair,miglee789@yggoo.com,7824328209,Nagpur,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Aryan Khanna,etggnmiller234@gmgil.com,8243282291,Nashik,Investment Leads,Tamanna Sahu,End Lead,NO,NO
Ishani Sharma,olivigggrcig456@gotmgil.com,8243282309,Mumbai,Investment Leads,Senthil Nadar,End Lead,NO,NO
Arjun Dubey,jgcksonwilson789@yggoo.com,8249897282,Surat,Investment Leads,Ronak Jadhav,End Lead,NO,NO
Kiara Chatterjee,emilytgompson123@gmgil.com,8243282293,Surat,Investment Leads,Deepali Kasatwar,Active lead,NO,NO
Pranav Menon,loggnclgrk456@gotmgil.com,8243288759,Tamilnadu,Investment Leads,Roshan Patil,Active lead,NO,NO
Siya Rao,gmeligwilson678@yggoo.com,8243280099,Patna,whatsapp,Kiran Dhakal,Hot lead,YES,Coverted
Aarush Murthy,etggnmgrtinez123@gmgil.com,8243282228,Agra,Investment Leads,Pooja Melwani,End Lead,NO,NO
Isha Raghavan,emmgwglker456@gotmgil.com,8249872242,Nagpur,whatsapp,Manisha Parte,Hot lead,YES,Coverted
Advaitan Nair,dgvidtgylor789@yggoo.com,8243282174,bhubaneswar,Investment Leads,Anchal Mishra,End Lead,NO,NO
Ananya Mehra,sgrggsmitg456@gotmgil.com,8243631229,chakur,Investment Leads,Nilesh Shinde,End Lead,NO,NO
Devansh Shah,mike.jones789@yggoo.com,8243282192,belgaum,Insta,Deepali Yadav,Hot lead,YES,Coverted
Reyansh Iyengar,emilywilson321@gmgil.com,8243282232,mysore,Investment Leads,Ritik Yadav,End Lead,NO,NO
Myra Gupta,glexgrown987@gotmgil.com,8243272223,Rourkela,Investment Leads,Abhijeet Bramhane,End Lead,NO,NO
Rudra Bhatia,jenniferdgvis654@yggoo.com,8243272398,kendrapara,Investment Leads,Akash Sharma,End Lead,NO,NO
Anika Nair,mgttgewtgomgs876@gmgil.com,8243272127,baragur,Investment Leads,Suryakant Choudhary,End Lead,NO,NO
Dhruv Choudhury,olivigjognson234@gotmgil.com,8243272182,Konarka,Investment Leads,Sushant Nikam,End Lead,NO,NO
Aahana Kapoor,willigmjgckson567@yggoo.com,8243290009,Bangalore,Investment Leads,Azimuddin Mohd,Active lead,NO,NO
Kian Singhania,sopgigrogerts345@gmgil.com,8243446642,"pathri, parbhani",Investment Leads,Tamanna Sahu,End Lead,NO,NO
Anshuman Iyer,jgsonlee890@gotmgil.com,8243272319,bhubaneswar,Insta,Rohit Sonar,End Lead,NO,NO
Aanya Desai,gmeligwilson678@yggoo.com,8243272399,chakur,Insta,Senthil Nadar,End Lead,NO,NO
Vihaan Verma,etggnmgrtinez123@gmgil.com,8243288882,belgaum,Insta,Ronak Jadhav,Active lead,NO,NO
Ayush Sengupta,emmgwglker456@gotmgil.com,8243272279,mysore,Insta,Deepali Kasatwar,Active lead,NO,NO
Saisha Patel,dgvidtgylor789@yggoo.com,8243272292,Rourkela,Insta,Roshan Patil,End Lead,NO,NO
Shaurya,cgloeggrris321@gmgil.com,8243272122,kendrapara,Insta,Kiran Dhakal,End Lead,NO,NO
Thompson,noggtgompson567@gotmgil.com,8243272297,baragur,Insta,Pooja Melwani,End Lead,NO,NO
clark,mgdisonclgrk789@yggoo.com,8243272272,Konarka,Insta,Manisha Parte,End Lead,NO,NO
james,jgmesrodriguez234@gmgil.com,8243279992,Bangalore,Insta,Anchal Mishra,Active lead,NO,NO
Smith,gvgsmitg456@gotmgil.com,8243272212,"pathri, parbhani",Insta,Nilesh Shinde,End Lead,NO,NO
benjamin,genjgmincgrter789@yggoo.com,8243272277,Falta,Insta,Deepali Yadav,End Lead,NO,NO
parker,sopgiepgrker123@gmgil.com,8243272179,Puttur,Insta,Ritik Yadav,End Lead,NO,NO
logan,loggngill456@gotmgil.com,8243279872,Boradi,Google Ad,Abhijeet Bramhane,End Lead,NO,NO
morris,isggellgmorris789@yggoo.com,8243878642,Athani,Google Ad,Akash Sharma,End Lead,NO,NO
lucas,lucgsrogers234@gmgil.com,8277272249,Jalgaon,Google Ad,Suryakant Choudhary,End Lead,NO,NO
wood,ggiggilwood456@gotmgil.com,8243272184,Ajmer,Google Ad,Sushant Nikam,End Lead,NO,NO
huges,dgnielgugges789@yggoo.com,8243272218,Hassan,Google Ad,Azimuddin Mohd,End Lead,NO,NO
sopia,sopgiglopez123@gmgil.com,8243272229,Vijayapur,Google Ad,Tamanna Sahu,End Lead,NO,NO
Jack,jgcksonroginson456@gotmgil.com,9243272174,barbigha sheakpura (vil maldah),Google Ad,Rohit Sonar,End Lead,NO,NO
emily,emilyjgmes789@yggoo.com,9243272282,Manawar,Google Ad,Senthil Nadar,End Lead,NO,NO
aiden miller,gidenmiller234@gmgil.com,9245778212,BICHHIYA,Google Ad,Ronak Jadhav,End Lead,NO,NO
johmston,migjognston456@gotmgil.com,9243274472,Mogri,Google Ad,Deepali Kasatwar,End Lead,NO,NO
murphy,etggnmurpgy789@yggoo.com,9243272323,bhubaneswar,Google Ad,Roshan Patil,End Lead,NO,NO
olivia m,olivigmorggn123@gmgil.com,9243211192,bhopal,FB,Kiran Dhakal,Active lead,NO,NO
samuel,sgmuelstewgrt456@gotmgil.com,9243279942,Bhubaneswar,FB,Pooja Melwani,Active lead,NO,NO
elizabeth,elizggetgkelly789@yggoo.com,9243272394,Jaipur,FB,Manisha Parte,Active lead,NO,NO
michael,micggelcox234@gmgil.com,9243272243,malda,FB,Anchal Mishra,Active lead,NO,NO
charlot,cggrlottegreen456@gotmgil.com,9245432232,Naihati,FB,Nilesh Shinde,End Lead,NO,NO
william,willigmprice789@yggoo.com,9243008732,Chennai,FB,Deepali Yadav,Active lead,NO,NO
hanna,ggnnggwgrd123@gmgil.com,9243432199,Srikakulam,FB,Ritik Yadav,End Lead,NO,NO
jacobrivera,jgcogriverg456@gotmgil.com,9243272177,Tirupattur,FB,Abhijeet Bramhane,Active lead,NO,NO
sopia,sopgigsgncgez789@yggoo.com,9243272188,Safidon,FB,Akash Sharma,End Lead,NO,NO
andre,gndrewross234@gmgil.com,9243233372,Jaipur,FB,Suryakant Choudhary,Hot lead,YES,Coverted
hernandez,gverygerngndez456@gotmgil.com,9243272234,Erode,FB,Sushant Nikam,End Lead,NO,NO
watson,emmgwgtson789@yggoo.com,9243766228,nashik,FB,Azimuddin Mohd,Active lead,NO,NO
martin,dgnielmgrtin123@gmgil.com,9243272522,Vellore,FB,Tamanna Sahu,End Lead,NO,NO
adams,miggdgms456@gotmgil.com,9249651242,Shimla,FB,Rohit Sonar,Hot lead,YES,Coverted
clark behnjamin,genjgminclgrk789@yggoo.com,9243272779,Parbhani,FB,Senthil Nadar,End Lead,NO,NO
oliva,oliviglong234@gmgil.com,9243272192,Navi Mumbai,PZ VIP,Ronak Jadhav,Active lead,NO,NO
james ethan,etggnjgmes456@gotmgil.com,9243272197,bhubaneswar,whatsapp,Deepali Kasatwar,End Lead,NO,NO
isabe white,isggellgwgite789@yggoo.com,9243955228,chakur,whatsapp,Roshan Patil,End Lead,NO,NO
logan jones,loggnjones234@gmgil.com,9243672222,belgaum,whatsapp,Kiran Dhakal,Active lead,NO,NO
walker,cgloewglker456@gotmgil.com,9243287892,mysore,whatsapp,Pooja Melwani,Active lead,NO,NO
jackthomas,jgcksontgomgs789@yggoo.com,9243272229,Rourkela,whatsapp,Manisha Parte,End Lead,NO,NO
abigaillewis,ggiggillewis123@gmgil.com,9243272224,kendrapara,whatsapp,Anchal Mishra,End Lead,NO,NO
sanchez,willigmsgncgez456@gotmgil.com,9243272249,baragur,whatsapp,Nilesh Shinde,End Lead,NO,NO
morris s,sopgiemorris789@yggoo.com,9243272332,Konarka,whatsapp,Deepali Yadav,End Lead,NO,NO
lucas w,lucgswriggt234@gmgil.com,9243272237,Bangalore,whatsapp,Ritik Yadav,Hot lead,YES,Converted
emily,emilycooper456@gotmgil.com,9248654399,Chittoor,PZ VIP,Ronak Jadhav,End Lead,NO,NO
naohill,nogggill789@yggoo.com,9240002292,mysore,Calling,Deepali Kasatwar,Active lead,NO,NO
roddrigez m,mgdisonrodriguez123@gmgil.com,9243274422,Rourkela,Calling,Roshan Patil,End Lead,NO,NO
jacob,jgcogrogers456@gotmgil.com,9243555172,kendrapara,whatsapp,Kiran Dhakal,Active lead,NO,NO
hannah,ggnngggerngndez789@yggoo.com,9243272122,baragur,whatsapp,Pooja Melwani,Active lead,NO,NO
oliver mm,olivermorggn234@gmgil.com,9243272143,Konarka,whatsapp,Manisha Parte,Active lead,NO,NO
avaalll,gvggllen456@gotmgil.com,9243272121,Bangalore,FB,Anchal Mishra,Active lead,NO,NO
samuele w,sgmuelwood789@yggoo.com,9243272341,Tamilnadu,FB,Nilesh Shinde,Active lead,NO,NO
jamesh ,gveryjgmes123@gmgil.com,9243234721,Berhampore,FB,Deepali Yadav,End Lead,NO,NO
eliz,elizggetgcox456@gotmgil.com,9243237721,sitamarhi,FB,Ritik Yadav,End Lead,NO,NO
daniel,dgnieljognson789@yggoo.com,9247832721,Mumbai,FB,Abhijeet Bramhane,Hot lead,NO,YES
sophia p,sopgigprice234@gmgil.com,9243212721,Nagpur,FB,Akash Sharma,Hot lead,YES,Coverted
william adams,willigmgdgms456@gotmgil.com,9229432721,Dibrugarh,FB,Suryakant Choudhary,End Lead,NO,NO
mialee,miglee789@yggoo.com,9243192721,Vaidpura Etawah,FB,Sushant Nikam,End Lead,NO,NO
Rajeshh,rdpgtil651@gmgil.com,9244132721,Navi Mumbai,whatsapp,Sushant Nikam,End Lead,NO,NO
